,Category,Name,Summary_en,Summary_de
28,Gambling games,Mistigri (card game),"Mistigri, historically Pamphile, is an old, French, trick-taking card game for three or four players that has elements reminiscent of poker. It is a member of the Rams family of games and, although it is a gambling game, often played for small stakes, it is also suitable as a party game or as a family game with children from the age of 12 upwards.","Mistigri, auch bekannt als Mönch bzw. Mouche, Lentule, Pamphile oder Trente et un, ist ein Karten-Glücksspiel für drei oder vier Spieler, das jedoch auch mit mehr Mitspielern gespielt werden kann und je nach Anzahl der Mitspieler mit einem Blatt aus 32, 36 oder 52 Karten gespielt wird. In seiner Spielweise handelt es sich um ein Stichspiel, es enthält jedoch auch Elemente ähnlich dem Poker. Verwandt ist es mit dem historischen Kartenspiel TippenBenannt ist das Spiel nach dem „Mistigri“ (französisch für „die Mieze“ bzw. „das Kätzchen“) oder dem „Mönch“, dem Kreuz-Buben, der als höchster Trumpf und als Joker eingesetzt werden kann."
29,Gambling games,Monte Bank,"Monte Bank, Mountebank, Spanish Monte and Mexican Monte, sometimes just Monte, is a Spanish gambling card game and was known in the 19th century as the national card game of Mexico. It ultimately derives from basset, where the banker (dealer) pays on matching cards. The term ""monte"" has also been used for a variety of other gambling games, especially varieties of three-card poker, and for the swindle three-card monte.","Monte Bank oder kurz Monte ist der Name eines aus Mexiko stammenden Karten-Glücksspiels, das neben Faro das beliebteste Spiel in den Saloons des Wilden Westens war, bevor diese Spiele durch Poker verdrängt wurden.
Die im Englischen gebrauchte Bezeichnung mountebank (so viel wie Marktschreier, Quacksalber, Scharlatan) leitet sich von diesem Spiel ab.
Monte Bank wurde ursprünglich mit spanischen Spielkarten gespielt, später mit französischem Blatt ohne die Werte 8, 9, 10, also mit 40 Karten."
30,Gambling games,Odds and evens (hand game),"Odds and evens is a simple game of chance and hand game, involving two people simultaneously revealing a number of fingers and winning or losing depending on whether they are odd or even, or alternatively involving one person picking up coins or other small objects and hiding them in their closed hand, while another player guesses whether they have an odd or even number. The game may be used to make a decision or played for fun.
The finger game is also known as swords, choosies, pick, odds-on poke, or bucking up. This zero-sum game, a variation of the ancient morra and par-impar, is played in Europe, the US, and in Brazil, especially among children.","Gerade und Ungerade ist ein einfaches Glücksspiel, welches darin besteht, dass man – von Mitspielern unbeobachtet – verschiedene Münzen oder sonstige kleine Gegenstände in die Hand nimmt, letztere schließt und einen anderen erraten lässt, ob die Zahl derselben eine gerade oder ungerade sei."
31,Gambling games,Pai gow,"Pai gow (Chinese: 牌九, ) is a Chinese gambling game, played with a set of 32 Chinese dominoes. It is played in major casinos in China (including Macau); the United States (including Boston, Massachusetts; Las Vegas, Nevada; Reno, Nevada; Connecticut; Atlantic City, New Jersey; Pennsylvania; Mississippi; and cardrooms in California); Canada (including Edmonton, Alberta and Calgary, Alberta); Australia; and New Zealand.
The name ""pai gow"" is sometimes used to refer to a card game called pai gow poker (or “double-hand poker”), which is loosely based on pai gow.","Pai Gow, auch P’ai Kao, ist ein chinesisches Glücksspiel mit Dominosteinen und wird – abgesehen von seiner Heimat Macau – auch in den USA und Australien viel gespielt.
Die Grundidee dieses Spiels wurde auf das Spiel mit Karten übertragen, und so entstand die Variante Pai Gow Poker, die vor allem in den Casinos in Las Vegas und Atlantic City sehr verbreitet ist.
Pai Gow, zu deutsch etwa: neun (Punkte) machen, weist einige entfernte Ähnlichkeiten mit Baccara chemin de fer auf; die gelegentlich aufgestellte Behauptung, es handle sich um einen Vorläufer des Baccara ist jedoch nicht richtig."
32,Gambling games,Pinball,"Pinball games are a family of games in which a ball is propelled into a specially designed table where it bounces off various obstacles, scoring points either en route or when it comes to rest. Historically the board was studded with nails called 'pins' and had hollows or pockets which scored points if the ball came to rest in them. Today, pinball is most commonly an arcade game in which the ball is fired into a specially designed cabinet known as a pinball machine, hitting various lights, bumpers, ramps, and other targets depending on its design. The game's object is generally to score as many points as possible by hitting these targets and making various shots with flippers before the ball is lost. Most pinball machines use one ball per turn (except during special multi-ball phases), and the game ends when the ball(s) from the last turn are lost. The biggest pinball machine manufacturers historically include Bally Manufacturing, Gottlieb, Williams Electronics and Stern Pinball.","Ein Flipperautomat (kurz: Flipper, in der Schweiz meist Flipperkasten) ist ein Geschicklichkeits-Spielautomat ohne Geldgewinnmöglichkeit, dessen Vorläufer bis ins 18. Jahrhundert zurückreichen. Bei allen Flippern wird eine Metallkugel zunächst auf eine schrägstehende Fläche katapultiert, die sie in Richtung des Spielers hinabrollt: Je nachdem, in welche Öffnungen die Kugel dabei fällt bzw. welche Hindernisse sie dabei berührt, sammeln Spieler Punkte. Kurz nach dem Zweiten Weltkrieg erfand Harry Mabs die namensgebenden Flipper (d. h. Flipperhebel, auch Flipperfinger), mit denen der Spieler die Möglichkeit erhielt, die Kugel auf die Spielfläche zurückzuschleudern."
33,Gambling games,Poch,"Poch, Pochen or Pochspiel (French: Poque) is a very old card game that is considered one of the forerunners of poker, a game that developed in America in the 19th century. An etymological relationship between the game names is also assumed. Games related to Poch are the French Glic and Nain Jaune and the English Pope Joan. Other forerunners of poker and possible relatives of the game are the English game, Brag, from the 16th century and the French Brelan (later Bouillotte) and Belle, Flux et Trente-et-Un. Poch is recorded as early as 1441 in Strasbourg.Pochen is also another name for the card game Tippen or Dreiblatt.","Poch, Pochen oder Pochspiel, fr. Poque ist ein sehr altes Kartenspiel, das bereits im Jahre 1441 in Straßburg erwähnt wurde. Pochen gilt als einer der Vorläufer des Pokerspiels, das sich im 19. Jahrhundert in Amerika entwickelte. Auch eine etymologische Verwandtschaft der Spielbezeichnungen wird angenommen. Mit dem Pochen verwandte Spiele sind das französische Glic und Nain Jaune und das englische Pope Joan. Weitere Vorläufer des Poker und mögliche Verwandte des Pochspiels sind das englische Brag aus dem 16. Jahrhundert und das französische Brelan (später Bouillotte) sowie Belle, Fluss und Einunddreißig.Pochen ist auch eine andere Bezeichnung für das Kartenspiel Tippen."
34,Gambling games,Poker,"Poker is a family of comparing card games in which players wager over which hand is best according to that specific game's rules. While the earliest known form of the game was played with just 20 cards, today it is usually played with a standard deck, although in countries where short packs are common, it may be played with 32, 40 or 48 cards. Thus poker games vary in deck configuration, the number of cards in play, the number dealt face up or face down, and the number shared by all players, but all have rules that involve one or more rounds of betting.
In most modern poker games, the first round of betting begins with one or more of the players making some form of a forced bet (the blind or ante). In standard poker, each player bets according to the rank they believe their hand is worth as compared to the other players. The action then proceeds clockwise as each player in turn must either match (or ""call"") the maximum previous bet, or fold, losing the amount bet so far and all further involvement in the hand. A player who matches a bet may also ""raise"" (increase) the bet. The betting round ends when all players have either called the last bet or folded. If all but one player folds on any round, the remaining player collects the pot without being required to reveal their hand. If more than one player remains in contention after the final betting round, a showdown takes place where the hands are revealed, and the player with the winning hand takes the pot.
With the exception of initial forced bets, money is only placed into the pot voluntarily by a player who either believes the bet has positive expected value or who is trying to bluff other players for various strategic reasons. Thus, while the outcome of any particular hand significantly involves chance, the long-run expectations of the players are determined by their actions chosen on the basis of probability, psychology, and game theory.
Poker has increased in popularity since the beginning of the 20th century and has gone from being primarily a recreational activity confined to small groups of enthusiasts to a widely popular activity, both for participants and spectators, including online, with many professional players and multimillion-dollar tournament prizes.","Poker ist der Name einer Familie von Kartenspielen, die normalerweise mit Pokerkarten des anglo-amerikanischen Blatts zu 52 Karten gespielt werden und bei denen mit Hilfe von fünf Karten eine Hand (Pokerblatt) gebildet wird. Dabei setzen die Spieler ohne Wissen um das (genaue) Blatt des Gegners einen unterschiedlich hohen und mehr oder weniger wertvollen Einsatz (Spielmarken, Chips, Geld etc.) auf die Gewinnchancen der eigenen Hand. Die von den Spielern eingesetzten Chips eines Spieles („Pot“) fallen schließlich demjenigen Spieler mit der stärksten Hand zu oder dem einzig Übriggebliebenen, wenn alle anderen Spieler nicht bereit sind, den von ihm vorgelegten Einsatz ebenfalls zu setzen. Dies eröffnet die Möglichkeit, durch Bluffen auch mit schwachen Karten zu gewinnen. Das Ziel im Poker ist es, möglichst viele Chips, Spielmarken oder Geld von anderen Spielern zu gewinnen.
Je nach Spielvariante hat der Spieler verschiedene Möglichkeiten, sein Blatt zusammenzustellen. Auch die maximale und die bevorzugte Spieleranzahl sind je nach Variante verschieden. In manchen gewinnt nicht die beste Hand (High), sondern die schlechteste (Low) oder der Pot wird zwischen der besten und der schlechtesten Hand geteilt (High-Low).
In Casinos werden auch Spielvarianten angeboten, in denen die Spieler nicht alle gegeneinander um einen Pot spielen, sondern jeweils einzeln gegen das Haus.
Poker wird in Deutschland rechtlich gesehen weit überwiegend zu den Glücksspielen gezählt."
35,Gambling games,Roulette,"Roulette is a casino game named after the French word meaning little wheel which was likely developed from the Italian game Biribi. In the game, a player may choose to place a bet on a single number, various groupings of numbers, the color red or black, whether the number is odd or even, or if the numbers are high (19–36) or low (1–18).
To determine the winning number, a croupier spins a wheel in one direction, then spins a ball in the opposite direction around a tilted circular track running around the outer edge of the wheel. The ball eventually loses momentum, passes through an area of deflectors, and falls onto the wheel and into one of thirty-seven (single-zero, French or European style roulette) or thirty-eight (double-zero, American style roulette) or thirty-nine (triple-zero, ""Sands Roulette"") colored and numbered pockets on the wheel. The winnings are then paid to anyone who has placed a successful bet.","Roulette [ruˈlɛt] (französisch; deutsch „Rädchen“) ist ein weltweit verbreitetes, traditionelles Glücksspiel, das vor allem in Spielbanken angeboten wird. Das Roulette bezeichnet das Spiel, die Roulette bezeichnet die Roulettemaschine.
Beim Roulette setzt man auf Zahlen bzw. bestimmte Eigenschaften von Zahlen, die durch den zufälligen Lauf einer Kugel in einem Kessel bestimmt werden."
36,Gambling games,Schanzeln,"Schanzeln or Schanz'ln is a variation of the European skittles game of Kegeln, at which very high wagers were often placed, which is why it ended up on the list of games prohibited in Austria-Hungary in 1904. One enthusiastic fan of this game was Wolfgang Amadeus Mozart.","Das Schanzeln oder Schanz'ln ist eine Abart des Kegelspiels, bei der es oft um sehr hohe Geldeinsätze ging, weshalb es auf der Liste verbotener Spiele des k.u.k. Justizministeriums von 1904 angeführt war. Ein begeisterter Anhänger dieses Spiels war Wolfgang Amadeus Mozart."
37,Gambling games,Sic bo,"Sic bo (骰寶), also known as tai sai (大細), dai siu (大小), big and small or hi-lo, is an unequal game of chance of ancient Chinese origin played with three dice. Grand hazard and chuck-a-luck are variants, both of English origin. The literal meaning of sic bo is ""precious dice"", while dai siu and dai sai mean ""big [or] small"".
Sic bo is a casino game, popular in Asia and widely played (as dai siu) in casinos in Macau, Hong Kong. It is played in the Philippines as hi-lo.  It was introduced to the United States by Chinese immigrants in the early 20th century, and can now be found in most American casinos.  Since 2002, it can be played legally in licensed casinos in the United Kingdom.
Gameplay involves betting that a certain condition (e.g. that all three dice will roll the same) will be satisfied by a roll of the dice.","Sic Bo, auch Chuck a Luck (aus dem ebenfalls mit diesem Namen bezeichneten Würfelspiel ist es hervorgegangen), Grand Hazard, Big and Small, Birdcage, Dai Siu (auch: Tai Xiu) oder Hi Lo ist ein Würfel-Glücksspiel mit drei Würfeln, das in den Casinos von Macau und in den USA gerne gespielt wird und mittlerweile auch in den europäischen Spielbanken heimisch geworden ist. In portugiesischen Spielbanken wird es unter dem Namen Cussec angeboten.

Sic Bo hat sich möglicherweise von Shanghai aus in China verbreitet und ist zu Beginn des 20. Jahrhunderts von chinesischen Auswanderern in die Vereinigten Staaten gebracht worden."
38,Gambling games,Slot machine,"A slot machine (American English), fruit machine (British English) or poker machine (Australian English and New Zealand English) is a gambling machine that creates a game of chance for its customers. Slot machines are also known pejoratively as one-armed bandits because of the large mechanical levers affixed to the sides of early mechanical machines and the games' ability to empty players' pockets and wallets as thieves would.A slot machine's standard layout features a screen displaying three or more reels that ""spin"" when the game is activated. Some modern slot machines still include a lever as a skeuomorphic design trait to trigger play. However, the mechanics of early machines have been superseded by random number generators, and most are now operated using buttons and touchscreens.
Slot machines include one or more currency detectors that validate the form of payment, whether coin, cash, voucher, or token. The machine pays out according to the pattern of symbols displayed when the reels stop ""spinning"". Slot machines are the most popular gambling method in casinos and constitute about 70% of the average U.S. casino's income.Digital technology has resulted in variations in the original slot machine concept. As the player is essentially playing a video game, manufacturers can offer more interactive elements, such as advanced bonus rounds and more varied video graphics.","Ein Spielautomat ist ein ursprünglich mechanisch, später elektromechanisch und heute meist elektronisch funktionierendes, Screen-basiertes Gerät, das nach Münzeinwurf, Eingabe einer Banknote oder eines werthaltigen Tickets einen Spielverlauf startet, dessen Ergebnis durch Zufall und Spielerbetätigungen bestimmt wird.
Motiv zum Spielen sind Unterhaltung und Hoffnung auf einen Gewinn. Kommerzielle Nutznießer des Automaten sind in der Regel der Betreiber sowie der Staat, der – sofern es sich um legal aufgestellte Geräte handelt – einen nicht unbeträchtlichen Teil des Gewinnes als Vergnügungs-, Umsatzsteuer bzw. Spielbankabgabe erhält."
39,Gambling games,Stoßpudel,"Stoßpudel is an historical, south German and Austrian pinball game in which a ball is projected onto an inclined wooden playing board and falls into hollows or rolls into demarcated slots. Various points are scored for each shot depending on where the ball ends up. An 1834 Bavarian dictionary describes a Stoßpudel as a ""portable bowling alley, roughly like a type of billiard table, onto which an ivory ball is struck with a stick."".","Stoßpudel ist ein Holzspiel, bei dem eine in ein geneigtes Spielfeld geschossene Kugel in Gruben fällt oder in abgegrenzte Felder rollt. Je Stoß kann eine unterschiedlich hohe Punkteanzahl erzielt werden. Ein Bayrisches Wörterbuch von 1834 beschreibt den Begriff als ""tragbare Kegelbahn, ungefähr nach Art einer Billardtafel, auf welcher eine elfenbeinene Kugel mit einem Stock gestoßen wird.""."
40,Gambling games,Tippen,"Tippen, also known as Dreiblatt, Dreikart, Drei Karten, Dreekort, Kleinpréférence or Labet, is an historical German 3-card, plain-trick game which was popular as a gambling game for three or more players. The Danish version of the game was known as Trekort and more elaborate Swedish variants include Knack and Köpknack. It appears to be related to the English game of 3-Card Loo. It was banned as a gambling game in some places.","Tippen, Dreiblatt oder Zwicken (vgl. hier) ist ein dem Mauscheln ähnliches Karten-Glücksspiel, das früher in Deutschland und den Ländern Österreich-Ungarns weit verbreitet war.
Weitere Namen des Spieles sind Labet (von frz. la bête), Pochen – allerdings nicht zu verwechseln mit dem gleichnamigen Vorläufer des Pokerspiels (vgl. Poch) – und Kleinpréférence (vgl. Préférence).
Dem Tippen ähnliche Spiele sind das in Großbritannien und den USA beheimatete Loo sowie das aus Frankreich stammende Mistigri."
41,Gambling games,Two-up,"Two-up is a traditional Australian gambling game, involving a designated ""spinner"" throwing two coins or pennies into the air. Players bet on whether the coins will fall with both heads (obverse) up, both tails (reverse) up, or with one coin a head and one a tail (known as ""Ewan""). It is traditionally played on Anzac Day in pubs and clubs throughout Australia, in part to mark a shared experience with Diggers through the ages.
The game is traditionally played with pennies – their weight, size, and surface design make them ideal for the game. Weight and size make them stable on the ""kip"" and easy to spin in the air. Decimal coins are generally considered to be too small and light and they do not fly as well. The design of pre-1939 pennies had the sovereign's head on the obverse (front) and the reverse was totally covered in writing, making the result very easy and quick to see. Pennies now are marked with a white cross on the reverse (Tails) side. Pennies can often be observed being used at games on Anzac Day, as they are brought out specifically for this purpose each year.","Two-up oder Swy (nach dem deutschen Wort ""zwei"") ist ein aus Australien stammendes Glücksspiel. Es ist wohl das einzige Casino-Spiel, bei dem Münzen geworfen werden – es sei denn, es wird mit Würfeln gespielt (s. u.).
Two-up entstand in der Zeit des Australischen Goldrauschs in den 1850er Jahren. Während des Ersten Weltkriegs war es unter den Angehörigen des Australian and New Zealand Army Corps besonders beliebt, sodass es alljährlich am ANZAC Day, dem Tag der Erinnerung an die Landung auf Gallipoli am 25. April 1915, gerne gespielt wird."
42,Gambling games,Xóc đĩa,"Xóc đĩa is gambling game, originated and widespread in  Vietnam. The game probably originated around 1909. This game is considered illegal by the governmental authorities because it's thought to be linked with criminal activities and gambling is defined as an illegal act in the Vietnamese Criminal Code.","Xóc Đĩa [sɔk̚ diə̯] (auch XocDia), ist ein vietnamesisches Glücksspiel.  Unter der Bezeichnung Xóc Đĩa ist das Spiel in Vietnam bekannt und verbreitet, wie Pressemeldungen über Streitigkeiten zu dem Spiel nachweisen. Erste Hinweise finden sich aus der Zeit um 1909. Das genaue Alter des Spiels lässt sich, wie bei anderen kriminellen Spielen, wie etwa dem Hütchenspiel, nicht nachweisen. Das Spiel wird von der vietnamesischen Polizei als Problem im Zusammenhang mit Bandenkriminalität gesehen."
